1/5 tests.test_0...OK
2/5 transformer.test.perf whole MiMo interleaved decode...[expert-exl3] engaged K=2.5 codebook=tiny window=12
[expert-exl3] engaged K=2.5 codebook=tiny window=12
[mimo-source] loading original shards: resident EXL3 experts, in-memory affine8 trunk and split QKV
Precomputing MoE layer weights...
Batch eval all weights: 0ms
MoE routing compiled (hy3 sigmoid variant)
[perf-model] loaded corrected EXL3 ctx=8192 kv=8 mtp=false
[dtype-trace] moe: residual in = bfloat16, first weight = uint32
[mlp] fused SwiGLU kernel engaged: n=16777216 tg=256
[moe] fused router kernel engaged: mode=sigmoid_bias E=256 K=8 tg=256
[exl3-prefill] GPU window metadata engaged experts=256 win=32
[exl3-gemm] win=32 aligned=1 nwin=512 mixed=0 n=8192
[exl3-gemm] n40 two-funnel reader engaged dtype=float16
[exl3-prefill] sorted finish/reduce engaged dtype=bfloat16
[dtype-trace] moe: residual out = bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] prepared mid engaged dtype=bfloat16 middle=f16 after down-input Hadamard
[perf-width] rows=1 round=0 rep=12 arm=0 ns=32714208
[perf-width] rows=1 round=0 rep=12 arm=1 ns=31969959
[perf-width] rows=1 round=0 rep=13 arm=1 ns=30824500
[perf-width] rows=1 round=0 rep=13 arm=0 ns=32095958
[perf-width] rows=1 round=0 rep=14 arm=0 ns=32657209
[perf-width] rows=1 round=0 rep=14 arm=1 ns=31752791
[perf-width] rows=1 round=0 rep=15 arm=1 ns=30559584
[perf-width] rows=1 round=0 rep=15 arm=0 ns=32690125
[perf-width] rows=1 round=0 rep=16 arm=0 ns=32791084
[perf-width] rows=1 round=0 rep=16 arm=1 ns=30369958
[perf-width] rows=1 round=0 rep=17 arm=1 ns=31328042
[perf-width] rows=1 round=0 rep=17 arm=0 ns=32927541
[perf-width] rows=1 round=0 rep=18 arm=0 ns=32760416
[perf-width] rows=1 round=0 rep=18 arm=1 ns=31384916
[perf-width] rows=1 round=0 rep=19 arm=1 ns=31375542
[perf-width] rows=1 round=0 rep=19 arm=0 ns=32649875
[perf-width] rows=1 round=0 rep=20 arm=0 ns=32512375
[perf-width] rows=1 round=0 rep=20 arm=1 ns=30346667
[perf-width] rows=1 round=1 rep=21 arm=1 ns=31698833
[perf-width] rows=1 round=1 rep=21 arm=0 ns=31286417
[perf-width] rows=1 round=1 rep=22 arm=0 ns=31193542
[perf-width] rows=1 round=1 rep=22 arm=1 ns=30278500
[perf-width] rows=1 round=1 rep=23 arm=1 ns=30722458
[perf-width] rows=1 round=1 rep=23 arm=0 ns=31471833
[perf-width] rows=1 round=1 rep=24 arm=0 ns=31145166
[perf-width] rows=1 round=1 rep=24 arm=1 ns=29990208
[perf-width] rows=1 round=1 rep=25 arm=1 ns=29876584
[perf-width] rows=1 round=1 rep=25 arm=0 ns=31302791
[perf-width] rows=1 round=1 rep=26 arm=0 ns=31089958
